lid,fid
1,2
2,2
3,4
4,2
4,3
5,2
7,3
9,3
10,2
11,3
12,3
13,3
13,5
14,3
15,4
16,3
17,5
18,5
19,2
22,2
24,3
25,2
26,2
26,4
29,3
29,4
29,5
30,2
31,2
32,4
33,2
35,6
36,2
38,4
38,5
39,5
40,2
41,2
42,2
43,2
44,2
45,2
46,5
47,2
47,1
48,3
49,3
49,4
50,2
51,5
52,1
52,2
53,3
55,2
56,2
57,4
58,3
59,5
60,4
61,4
62,2
63,4
64,5
64,6
65,2
66,1
66,2
67,4
68,4
69,2
72,4
73,4
74,2
80,2
81,5
82,2
85,4
91,6
94,2
95,2
96,1
98,2
99,6
100,3
101,2
102,6
105,5
106,5
107,3
108,3
109,6
111,2
112,2
113,5
114,3
115,6
116,2
116,3
116,6
117,1
118,1
119,2
121,2
122,6
123,2
124,3
125,3
126,1
127,6
128,2
128,3
129,5
130,4
131,2
132,5
133,5
134,6
136,2
137,3
138,1
139,1
139,2
140,5
141,1
141,5
143,3
144,3
145,2
146,6
147,6
148,2
150,2
150,3
150,6
151,2
151,3
151,6
152,2
154,2
156,2
157,2
158,3
159,2
160,5
161,2
162,3
163,3
164,3
165,3
166,2
167,2
168,2
168,4
169,2
169,4
174,3
177,2
178,1
181,1
182,5
183,4
184,2
185,3
186,3
187,2
189,5
191,3
192,6
193,6
194,6
195,2
196,3
197,4
198,6
199,2
199,4
200,5
203,1
206,6
207,3
208,2
209,2
210,1
210,5
211,3
212,3
213,2
214,2
215,3
216,5
217,3
218,3
219,2
220,3
221,3
222,3
223,3
226,2
227,2
228,2
230,1
232,5
233,2
234,5
235,3
236,3
237,6
238,3
239,2
240,1
241,5
242,2
244,5
245,6
246,3
249,5
250,2
251,5
252,3
253,3
254,5
255,4
256,5
258,5
259,1
260,5
261,5
262,2
265,2
266,3
267,3
268,3
269,3
270,2
271,2
272,5
273,5
274,5
276,1
279,3
280,1
281,2
282,5
283,5
284,1
284,2
286,3
287,6
288,3
289,3
290,3
291,4
293,2
294,3
295,1
296,2
297,5
298,1
299,2
300,3
301,5
302,2
303,1
304,2
309,3
310,2
312,2
314,1
315,2
317,3
318,2
319,3
320,3
321,3
322,3
323,2
324,1
326,2
327,2
328,2
