id,title,price,volume,type,alcohol,sweet,sour,body,cool,food,material,company,link,flavour_type
0,가야 프리미엄 막걸리,"32,000",750ml,과실주,6,3,3,2,4,,김해 쌀(100%),가야양조장,https://shopping-phinf.pstatic.net/main_3280498/32804985621.20220608124928.jpg?type=f640,3
1,감그린 레귤러,"18,000",750ml,과실주,12,3,3,2,3,소고기류,감(국내산),청도감와인,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013020715463_KGFK8VS9E.jpg%2Ffe87_281_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
2,감그린 스페셜,"25,000",750ml,과실주,12,3,3,3,3,소고기류,감(국내산),청도감와인,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20181017120058261_9LP7HYZZH.jpg%2Ffe87_282_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
3,감그린 아이스와인,"89,000",375ml,과실주,10,4,2,4,2,"모짜렐라 치즈, 카망베르, 스모키 치즈",감(국내산),청도감와인,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013022632085_JS0FG3HC4.jpg%2Ffe87_283_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,4
4,감악산 머루주,"28,000",360ml,과실주,12,4,4,3,3,"메기, 참게, 흑염소, 오리로스구이","국내산 산머루원액 78.5%, 주정",산머루농원영농조합법인,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824185213299_9BJJMDYTE.jpg%2Ffe87_475_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
5,고도리 레드와인 스위트,"22,000",750ml,과실주,12,3,3,3,2,"육회, 수육, 불고기",MBA 머루포도(경북 영천),고도리 와이너리,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012232607390_PR1T3J94Y.jpg%2Ffe87_257_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
6,고도리 복숭아와인,"32,000",750ml,과실주,6.5,4,3,2,3,안주 없이,복숭아(영천),고도리 와이너리,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012233303337_YH8EX1IYX.jpg%2Ffe87_258_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
7,고도리 화이트와인 드라이,"22,000",750ml,과실주,10.5,2,3,2,3,"생선회, 기름기가 적은 음식",거봉포도(영천),고도리 와이너리,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012231753430_BXL6O7JRO.jpg%2Ffe87_256_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
8,고도리 화이트와인 스위트,"22,000",750ml,과실주,10.5,4,3,2,3,안주 없이,거봉포도(영천),고도리 와이너리,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012230912307_6HTQENADJ.jpg%2Ffe87_255_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
9,고창선운산 땡큐복분자주,"50,000",300ml,과실주,13,3,1,2,3,장어구이,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013002617552_ZEZTE1FR0.jpg%2Ffe87_267_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
10,고창선운산 땡큐블루베리주,"60,000",300ml,과실주,13,2,2,2,2,스테이크,"블루베리과실, 주정, 효모, 구연산, 정제수",고창선운산,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013004450642_1QTC63ZH8.jpg%2Ffe87_270_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
11,고창선운산 복분자주 특1호,"27,000",1800ml,과실주,15,3,1,2,3,장어구이,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013003339078_RJJFXK3KF.jpg%2Ffe87_268_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
12,공주애 오디와인,"6,000",375ml,과실주,15,3,2,1,3,장어구이,"국내산 오디, 정제수, 주정, 과당, 효모",사곡양조원,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013030946221_6W66ZE0JB.jpg%2Ffe87_288_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
13,그랑꼬또 레드와인,"35,000",750ml,과실주,12,3,3,2,3,"생선, 나물",포도(캠벨얼리),그린영농조합,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824171811871_DI0RHX5YW.jpg%2Ffe87_439_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
14,그랑꼬또 로제와인,"21,000",750ml,과실주,12,2,3,3,1,조개요리,포도,그린영농조합,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522124437029_XHAF0B41O.jpg%2Ffe87_124_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
15,그랑꼬또 청수,"60,000",750ml,과실주,12,2,1,2,3,파스타,포도,그린영농조합,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522123956155_TUATO6CXE.jpg%2Ffe87_123_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
16,그랑꼬또 M56,"21,000",750ml,과실주,12,2,3,3,1,조개요리,포도(캠벨얼리),그린영농조합,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522125019915_X9OP9CNG9.jpg%2Ffe87_125_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
17,그랑티그르 CE2002,"40,000",750ml,과실주,12,3,2,3,2,"산채 한정식, 나물요리",캠벨얼리 포도,월류원,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20190726150728113_RR7DBHY6K.jpg%2Ffe87_357_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,4
