sid,fid
0,2
1,1
1,2
1,5
1,6
2,3
2,5
4,1
5,1
6,1
6,2
6,5
6,6
7,1
7,2
7,6
8,1
8,3
9,1
10,1
11,1
11,3
12,2
12,6
13,1
13,2
13,3
13,5
14,1
14,2
16,1
16,2
16,5
17,2
17,3
17,5
20,1
21,1
21,2
21,3
21,6
22,1
23,1
24,1
26,1
26,2
26,3
26,6
27,1
27,3
27,6
30,1
30,2
30,3
31,1
31,2
31,6
33,6
34,1
34,2
34,5
34,6
35,1
35,3
36,1
36,2
36,6
37,1
37,2
37,6
39,1
39,2
39,3
39,6
40,1
41,1
41,2
41,6
42,1
42,2
42,3
42,6
43,3
46,1
52,1
52,5
53,6
54,1
54,2
54,3
55,5
55,6
56,1
56,6
57,2
57,3
60,1
61,2
61,3
61,4
62,1
63,1
63,2
63,3
63,6
64,1
64,6
65,6
66,1
66,2
66,3
67,1
67,2
67,3
67,5
68,1
68,3
68,6
69,1
69,2
69,3
69,6
70,2
71,2
71,6
73,3
75,1
75,2
76,1
76,2
76,6
81,1
81,2
81,3
81,6
83,1
83,2
87,1
87,2
87,3
87,4
91,1
91,2
91,3
93,1
93,3
93,5
93,6
94,1
94,2
94,3
94,5
94,6
95,1
95,2
95,3
95,6
97,1
98,2
99,1
99,3
99,6
100,3
100,6
102,1
102,2
102,5
103,1
106,2
108,6
110,1
112,1
117,1
117,2
119,1
119,5
121,1
124,1
124,2
124,6
125,6
126,1
126,2
126,3
127,1
127,2
128,1
128,2
128,3
128,4
128,5
130,1
130,2
130,6
134,1
134,6
137,1
139,2
139,6
141,2
141,3
143,2
143,5
145,1
145,3
145,6
148,1
148,3
148,6
150,1
150,3
150,6
152,1
152,2
158,1
158,2
158,5
158,6
160,1
160,2
160,3
160,6
164,4
165,2
165,3
167,1
169,1
169,2
169,3
173,1
177,1
177,2
177,3
178,1
178,2
178,6
179,1
179,2
179,6
182,1
182,2
182,6
183,2
183,3
183,6
184,1
185,1
185,2
185,6
186,1
186,6
187,1
187,2
187,6
188,1
188,5
192,1
192,2
193,1
193,6
194,1
194,5
194,6
195,1
195,6
196,6
198,1
198,6
199,1
199,2
200,1
201,1
202,2
202,3
205,1
205,2
205,3
207,2
207,3
209,2
209,5
210,1
210,2
212,2
212,3
212,6
214,1
214,2
214,6
215,1
218,1
220,1
220,6
225,1
225,5
226,1
226,5
231,1
231,3
232,1
232,6
234,3
234,6
235,1
235,2
235,6
236,1
236,6
237,1
237,2
237,3
237,5
238,1
238,4
239,1
239,4
240,6
241,2
242,1
242,2
243,1
243,3
243,6
244,6
246,2
246,3
247,1
247,5
247,6
248,1
248,2
249,1
250,1
251,1
253,1
253,2
253,5
253,6
256,1
256,5
256,6
258,2
258,3
264,1
264,2
264,6
267,1
273,2
273,5
278,1
278,6
280,2
280,3
280,6
285,2
285,3
286,3
287,2
287,3
288,1
288,3
290,1
290,2
291,1
291,1
293,1
294,2
294,3
294,6
295,1
295,3
296,1
296,2
296,3
296,6
298,1
298,6
300,2
300,3
301,3
302,3
304,1
304,2
306,1
308,2
308,6
310,2
314,1
315,1
315,2
315,3
316,6
318,2
318,3
318,6
321,1
321,2
321,6
322,2
322,3
323,1
323,2
323,6
324,2
324,5
324,6
325,1
325,6
336,1
339,2
340,1
340,6
342,1
342,3
342,4
343,1
343,2
343,3
343,5
344,1
344,2
344,3
344,5
344,6
345,6
346,1
346,6
348,1
349,2
350,1
350,6
351,1
353,1
354,1
354,2
354,3
354,6
355,2
355,6
358,1
358,6
360,2
360,3
361,1
361,2
361,3
361,5
364,3
366,1
366,2
366,3
366,6
367,1
367,2
367,4
367,6
368,1
368,3
368,6
369,2
369,4
369,5
370,1
370,3
370,5
371,1
372,3
373,3
374,1
377,1
381,1
381,3
381,6
382,1
383,1
383,2
386,1
386,4
387,2
388,1
388,6
389,1
389,2
389,6
390,2
390,3
391,1
391,2
393,1
393,2
393,6
394,3
395,1
395,3
395,6
396,1
396,3
397,1
397,2
397,3
397,6
399,1
399,3
400,2
401,2
403,1
403,2
403,6
404,2
407,1
407,6
411,1
411,2
411,3
411,5
412,1
415,1
417,1
417,2
417,3
418,1
418,2
418,6
419,2
419,3
419,6
420,1
421,5
422,1
422,6
423,1
423,2
423,3
423,6
424,1
425,1
425,6
