id,name,address,time,phone,menu,group,link
0,화실,서울 노원구 한글비석로20길 62 송림빌딩 101호,,0507-1397-2490,사태&스지 찜 [계절안주] 제철 대하탕 불고기 트러플 크림 파케리™ [계절안주] 토마토 홍합탕 청어알 들기름 냉파스타 명란감자구이 [계절안주] 새우 리조또 들기름 메밀면과 두부구이 청어알 두부쌈 인절미 젤라또 ,고기,https://pcmap.place.naver.com/restaurant/1368525609/home
1,막끌리네,서울 강남구 삼성로104길 17,,02-555-8861,"차돌박이육전 꼬막 살얼음생막걸리 살얼음밤막걸리 프리미엄막걸리 홍어삼합 닭볶음탕(빨간닭,노란닭,까만닭) 도토리묵무침 묵사발 감자전 굴전 고추장찌개 김치제육볶음&두부한모 치즈감자전 김치보쌈 ",고기 야채 전 찌개,https://pcmap.place.naver.com/restaurant/1487106972/home
2,신라의달밤,인천 부평구 광장로30번길 23,,032-516-0365,오징어무침 도토리무침 골뱅이무침 묵사발 가오리찜 ,야채 해산물,https://pcmap.place.naver.com/restaurant/1827642796/home
3,시골막걸리,경기 부천시 석천로2번길 64,,032-655-3147,,,https://pcmap.place.naver.com/restaurant/1685765272/home
4,교동전선생 광화문점,서울 종로구 새문안로5가길 3 성보빌딩2층,,02-737-4042,모듬전 육전 해물파전 굴전 ,전,https://pcmap.place.naver.com/restaurant/32848495/home
5,뒷골목전집,경기 수원시 권선구 권광로56번길 17,,070-4064-2747,감자전 안주류 ,전,https://pcmap.place.naver.com/restaurant/78773752/home
6,막걸리집 갈매기의꿈,인천 남동구 문화로89번길 8-3,,032-433-2030,두부만두전골 (대) 두부만두전골 (중) 두부보쌈 (대) 두부보쌈 (중) 두부김치/ 두부샐러드/ 해물순두부 두부젓국탕 함박갈매기 치즈계란말이 두부피자 모듬전 해물파전 동태전/ 감자전 김치전 홍어전 모듬안주 4인,고기 야채 전 찌개,https://pcmap.place.naver.com/restaurant/37944104/home
7,신당 다락 이팅로프트,서울 중구 퇴계로90길 14-3,,0507-1393-6822,해물 순두부찌개 족조림 아롱사태스지수육 칼뱅이 동래해물파전 장땡이 버섯스지전골 보들탕 곰소 젓갈과 흑임자 두부 주인맘 디쉬 ,고기 찌개 전,https://pcmap.place.naver.com/restaurant/1541747597/home
8,막걸리이야기 서초점,서울 서초구 반포대로28길 21-12,,02-522-1516,감자채전 통영가리비찜 ,전 해산물,https://pcmap.place.naver.com/restaurant/102599437/home
9,초가집,서울 강서구 강서로5나길 50 일성스카이빌,,02-2606-7747,해물파전 ,전,https://pcmap.place.naver.com/restaurant/37719455/home
10,교동전선생 강남쌍용점,서울 강남구 테헤란로4길 46 138호,,02-565-0850,모듬전 눈꽃감자전 김치전 해물파전 불고기파전 ,전,https://pcmap.place.naver.com/restaurant/1931398460/home
11,강화찬우물고향생막걸리 가산직영점,서울 금천구 벚꽃로38길 32,,02-854-4674,모듬전 홍어전 해물파전 전병 김치전 미나리전 부추전 고향세트 홍어삼합(편육) 묵은지홍어사시미 ,해산물 전,https://pcmap.place.naver.com/restaurant/20834414/home
12,물뛴다,서울 서대문구 경기대로 43,,02-392-4200,물뛴다 샘플러 저녁) 김치생두부 점심) 두부명란젓국 점심) 소고기뭇국 점심) 한우제물국시 저녁) 몬트락보쌈 두부김치찌개2-3인 두부김치찌개 3-4인 민어찜 정식 얼큰돼지찌개 두부젓국 콩국수 강된장 비빔밥 수제 두부김치 수제두부전,고기 찌개,https://pcmap.place.naver.com/restaurant/21025083/home
13,월선네 모란역점,경기 성남시 중원구 산성대로80번길 8 프레젠티아,,031-745-0040,월선네한우국밥 청국장과황태구이 청국장과제육볶음 홍어삼합-소 닭볶음탕-소 제육볶음 두부랑김치 황태구이 동태전 황태전 모듬전 해물파전 ,고기 해산물 전 야채,https://pcmap.place.naver.com/restaurant/37392385/home
14,전통주점 꿀막,서울 은평구 진흥로 185 1층,,0507-1328-7115,차돌순두부전골 제육볶음 해물파전 두부김치제육 ,고기 전,https://pcmap.place.naver.com/restaurant/1047280746/home
15,포천이동생막걸리,인천 서구 가정로 180,,032-582-5558,,,https://pcmap.place.naver.com/restaurant/21491270/home
16,싸립문을밀고들어서니,서울 종로구 인사동길 15-11,,0507-1307-5917,부추전 김치전 도토리묵 두부김치 치즈불닭 ,고기 전 야채,https://pcmap.place.naver.com/restaurant/1635823354/home
17,동동이네,인천 중구 우현로67번길 33,,032-773-7366,미니닭꼬치 모듬소세지 골뱅이소면 두부김치 왕새우튀김 ,고기 해산물 야채,https://pcmap.place.naver.com/restaurant/21801055/home
18,양산골주막,경기 오산시 한신대길 113,,031-377-7371,,,https://pcmap.place.naver.com/restaurant/37131480/home
19,막걸리나 2호점,경기 시흥시 호현로22번길 20,,,,,https://pcmap.place.naver.com/restaurant/31618311/home
20,부쳐부쳐부침개,경기 안양시 만안구 안양로405번길 24,,031-465-9995,모듬전 동태전 녹두전 김치전 감자전 동태탕 메밀전병 닭발 ,전,https://pcmap.place.naver.com/restaurant/37137835/home
21,뉴욕막걸리,서울 마포구 양화로6길 21 1층 별관 뉴욕막걸리,,0507-1334-4878,오징어순대 고기 김치전 고기 녹두전 해물파전 감자전 도토리묵 골뱅이무침 숯불 춘천닭갈비 더덕구이 숯불 두루치기 해물떡볶이 명란구이 두부김치 얼큰 알탕 해물 계란탕 ,고기 해산물 찌개 전 야채,https://pcmap.place.naver.com/restaurant/21235648/home
22,교동전선생 잠실점,서울 송파구 올림픽로35가길 9 잠실 푸르지오 월드마크,,02-424-1202,모듬전 ,전,https://pcmap.place.naver.com/restaurant/34240476/home
23,열차집,서울 종로구 종로7길 47,,02-734-2849,"원조빈대떡(3장) 굴전 해물파전 조개탕 두부전, 데침 고기 빈대떡(3장)",전,https://pcmap.place.naver.com/restaurant/11626180/home
24,옛고을주막,경기 안양시 동안구 평촌대로223번길 65 범계빌딩 B04호,,031-466-8600,해물파전 ,전,https://pcmap.place.naver.com/restaurant/1826470806/home
25,늘마중,서울 종로구 인사동10길 11-5 1층,,02-730-2985,,,https://pcmap.place.naver.com/restaurant/21627245/home
26,주막집,인천 연수구 청학로6번길 86,,032-832-8494,번게기탕 두부탕 돼지김치찌개 코다리조림 닭볶음탕 가자미구이 갈치구이 ,고기 해산물 찌개 전,https://pcmap.place.naver.com/restaurant/38368281/home
27,전주전통막걸리,서울 서초구 사평대로 362 1층 102호,,02-532-8584,도토리묵무침 사계절주 꼬막데침.무침 홍어삼합.찜(중) 해물파전 부추전 감자전 목살고추장찌개 대구탕 십칠주 백수환동주 무영막걸리 마막걸리 감칠주 ,해산물 전 찌개,https://pcmap.place.naver.com/restaurant/1532582199/home
28,행복한집,서울 종로구 돈화문로11길 20,,02-747-2324,,,https://pcmap.place.naver.com/restaurant/32745780/home
29,흰고개검은고개,인천 미추홀구 석정로 204,,032-881-2493,,,https://pcmap.place.naver.com/restaurant/16427311/home
30,속에천불청송얼음막걸리 신대방점,서울 관악구 조원중앙로 50,,0507-1357-5576,누룽지감자전 두부김치 똥집볶음 무뼈닭발 골뱅이 무침 해물파전 매생이굴전 정구지전 김치전 야채고추전 돌미나리전 메밀전병 제육볶음 오돌뼈 볶음 낚지볶음 ,고기 해산물 전,https://pcmap.place.naver.com/restaurant/18727595/home
