title,price,volume,type,alcohol,food,sweet,sour,body,cool,meterial,company,flavour_type,id
1000억 유산균 막걸리,3200,750ml,탁주,5,"보쌈, 족발",3,5,3,5,"국내산쌀, 누룩",국순당,4,0
1932 새싹땅콩 햅쌀막걸리,15000,500ml,탁주,6,디저트(케이크)/ 고기(돼지 갈비),2,2,1,3,"새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미",1932포천일동막걸리,2,1
1932 새싹땅콩 흑미막걸리,15000,500ml,탁주,6,디저트(케이크)/ 고기(돼지 갈비),3,1,2,1,"새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미",1932포천일동막걸리,2,2
가야 프리미엄 막걸리,32000,750ml,과실주,6,,3,3,2,4,김해 쌀(100%),가야양조장,4,3
가평 잣 막걸리,1450,750ml,탁주,6,반찬,2,2,3,3,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소",가평 우리술,4,4
감그린 레귤러,18000,750ml,과실주,12,소고기류,3,3,2,3,감(국내산),청도감와인,4,5
감그린 스페셜,25000,750ml,과실주,12,소고기류,3,3,3,3,감(국내산),청도감와인,4,6
감그린 아이스와인,89000,375ml,과실주,10,"모짜렐라 치즈, 카망베르, 스모키 치즈",4,2,4,2,감(국내산),청도감와인,1,7
감악산 머루주,28000,360ml,과실주,12,"메기, 참게, 흑염소, 오리로스구이",4,4,3,3,"국내산 산머루원액 78.5%, 주정",산머루농원영농조합법인,4,8
감자술 13%,14000,700ml,약주,13,감자전,3,2,2,3,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",오대서주양조,2,9
강화 생 고향 막걸리,1200,750ml,탁주,6,,3,2.5,3,2.5,국내산 쌀,찬우물,4,10
강화고향인삼막걸리,4000,750ml,탁주,6,,3,2.5,3,1,"국내산쌀90%, 국내산인삼10%",찬우물,1,11
걍즐겨,6000,600ml,탁주,8,안주 없이 즐김,3,4,3,3,"멥쌀,찹쌀,누룩,프렌치세종,석류,히비스커스",디오케이브루어리,4,12
경기전,27000,1000ml,기타주류,5,맥주에 어울리는 모든 안주,2,3,2,4,"국내산 보리, 맥아, 호프펠렛, 효모, 정제효소제, 정제수",전주술로시티,4,13
고도리 레드와인 스위트,22000,750ml,과실주,12,"육회, 수육, 불고기",3,3,3,2,MBA 머루포도(경북 영천),고도리 와이너리,4,14
고도리 복숭아와인,32000,750ml,과실주,6.5,,4,3,2,3,복숭아(영천),고도리 와이너리,4,15
고도리 화이트와인 드라이,22000,750ml,과실주,10.5,"생선회, 기름기가 적은 음식",2,3,2,3,거봉포도(영천),고도리 와이너리,3,16
고도리 화이트와인 스위트,22000,750ml,과실주,10.5,,4,3,2,3,거봉포도(영천),고도리 와이너리,4,17
고소리술,25000,375ml,증류주,40,생선회,2,0,3,3,"제주산 좁쌀53%, 국내산 쌀 47%",제주샘주,2,18
고창선운산 땡큐복분자주,50000,300ml,과실주,13,장어구이,3,1,2,3,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산,2,19
고창선운산 땡큐블루베리주,60000,300ml,과실주,13,스테이크,2,2,2,2,"블루베리과실, 주정, 효모, 구연산, 정제수",고창선운산,2,20
고창선운산 복분자주 특1호,27000,1800ml,과실주,15,장어구이,3,1,2,3,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산,2,21
공주애 오디와인,6000,375ml,과실주,15,장어구이,3,2,1,3,"국내산 오디, 정제수, 주정, 과당, 효모",사곡양조원,2,22
구기홍주 14,16000,750ml,약주,14,약간 매운 음식,2,2,2,2,"국내산 쌀, 국, 구기자추출액, 올리고당, 효모, 효소, 아세설팜칼륨, 정제수",두이술공방,2,23
구름을 벗삼아,1500,750ml,탁주,6,가리비,3,3,3,3,"정제수, 찹쌀·백미(국내산햅쌀 100%), 입국",문경주조,4,24
구암대추막걸리,2500,1000ml,탁주,6,,3,2.5,3,1,"쌀, 대추",구암농산,1,25
국순당 2010 첫술,4200,750ml,탁주,7,,3,2.5,3,3,쌀,국순당,4,26
그랑꼬또 레드와인,35000,750ml,과실주,12,"생선, 나물",3,3,2,3,포도(캠벨얼리),그린영농조합,4,27
그랑꼬또 로제와인,21000,750ml,과실주,12,조개요리,2,3,3,1,포도,그린영농조합,4,28
그랑꼬또 청수,60000,750ml,과실주,12,파스타,2,1,2,3,포도,그린영농조합,2,29
그랑꼬또 M56,21000,750ml,과실주,12,조개요리,2,3,3,1,포도(캠벨얼리),그린영농조합,3,30
그랑티그르 CE2002,40000,750ml,과실주,12,"산채 한정식, 나물요리",3,2,3,2,캠벨얼리 포도,월류원,1,31
그랑티그르 M1988,40000,750ml,과실주,12,"산채 한정식, 나물 요리",3,3,3,2,"캠벨얼리 포도, 오미자",월류원,4,32
그랑티그르 S1974,40000,750ml,과실주,12,스테이크,1,3,2,2,포도(캠벨얼리 100%),월류원,3,33
금산인삼주,12000,375ml,약주,12.5,양념 돼지갈비,1,3,2,2,"쌀, 인삼, 누룩, 정제수",금산인삼주,3,34
금정산성막걸리,1900,750ml,탁주,8,흑염소 불고기,1,3,3,2,"백미, 밀(누룩), 정제수",금정산성 토산주,3,35
기다림 16,11000,750ml,탁주,9,동래파전,2,4,3,2,"국내산 찹쌀, 국내산 흑미, 곡자, 정제수",제이케이크래프트,3,36
기다림 25,9900,750ml,탁주,8,매운 잡채,2,4,2,2,"국내산 백미, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트,3,37
기다림 34,15000,500ml,탁주,12,산미가 기름진 음식,3,3,3,3,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트,4,38
기다림 맑은술,25000,500ml,약주,15,"곱창 전골, 연포탕",4,3,3,3,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트,4,39
김포 막걸리,1200,750ml,탁주,6,파전,2,2,1,3,"쌀, 누룩, 정제수",김포양조,2,40
김포별주,4000,500ml,약주,13,쭈꾸미 볶음,3,1,3,1,"쌀, 옥수수 전분, 국, 효모, 젖산, 효소제, 정제수",김포양조,1,41
김포약주,9000,750ml,약주,11,닭백숙,1,2,2,1,"옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수",김포양조,3,42
김포예주 프리미엄,15000,750ml,약주,13,불고기,2,1,4,1,"국내산 쌀, 국, 효모, 젖산, 정제수",김포양조,1,43
김포특주,3000,375ml,약주,15,"감자탕, 김치찌개, 매운 제육볶음",4,4,2,2,"국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",김포금쌀탁주영농조합법인,4,44
까메오 막걸리,5000,550ml,탁주,6,샐러드,3,1,2,2,"정제수, 쌀, 효모, 누룩, 과당 등",낙천,2,45
꿀막걸리,18000,750ml,탁주,8,양념 갈비,1,2,4,3,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",청산녹수,3,46
나루 생 막걸리 11.5도,11000,500ml,탁주,11.5,생크림 케익,4,1,5,1,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조,1,47
나루 생 막걸리 6도,7000,935ml,탁주,6,기름진 고기,3,3,2,2,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조,4,48
남산애 레드와인,45000,750ml,과실주,14,,3,3,2,3,"포도(캠벨얼리, MBA, 산머루)",월류원,4,49
남산애 포트와인,55000,750ml,과실주,18.5,,3,3,3,2,"포도(캠벨얼리, MBA, 산머루)",예인화원,4,50
녹파주,35000,375ml,약주,15,연잎밥,3,2,3,2,"국내산 찹쌀, 멥쌀, 누룩, 정제수",솔송주(명가원),1,51
느린마을 막걸리,2300,750ml,탁주,6,새우 소금구이,3,1,2,3,"쌀, 국, 효모, 정제수",배상면주가,2,52
능이주,12000,375ml,약주,13,버섯구이,1,3,2,1,"국내산 쌀, 능이농축액, 누룩, 정제수",내국양조,3,53
니모메,12000,375ml,약주,11,흰 살 생선 회,2,1,2,1,"쌀(국내산), 감귤 진피, 정제수",제주샘주,2,54
다래와인 3004,10000,375ml,과실주,8,소고기 구이,2,2,2,1,참다래,오름주가,2,55
다래와인 7004S,18000,750ml,과실주,8,식사,2,2,2,1,참다래,오름주가,2,56
다랭이팜 생막걸리,4000,750ml,과실주,6,골뱅이 무침,1,5,2,2,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",농업회사법인 주식회사 다랭이팜,3,57
